2026-07-06 06:35:00 - [-] - src.storage.report_repository - INFO - PostgreSQL 报告元数据连接池已创建
2026-07-06 06:35:00 - [-] - src.storage.report_repository - INFO - reports 表已确认存在（含 object_name / token_tracking / is_deleted 字段）
2026-07-06 06:36:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=194092 kB | VmSize=531832 kB
2026-07-06 06:37:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=194092 kB | VmSize=531832 kB
2026-07-06 06:38:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=194092 kB | VmSize=531832 kB
2026-07-06 06:39:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:40:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:41:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:42:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:43:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:44:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:45:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:46:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:47:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:48:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:49:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:50:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:51:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:52:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:53:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:54:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:55:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:56:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:57:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:58:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 06:59:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:00:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:01:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:02:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:03:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:04:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:05:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:06:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:07:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:08:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:09:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:10:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:11:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:12:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:13:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:14:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:15:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:16:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:17:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:18:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:19:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:20:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:21:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:22:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:23:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:24:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:25:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:26:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:27:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:28:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:29:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:30:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:31:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:32:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:33:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:34:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:35:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:36:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:37:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:38:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:39:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:40:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:41:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:42:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:43:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:44:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:45:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:46:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:47:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:48:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:49:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:50:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:51:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:52:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:53:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:54:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:55:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:56:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:57:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:58:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 07:59:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:00:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:01:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:02:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:03:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:04:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:05:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:06:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:07:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:08:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:09:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:10:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:11:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:12:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:13:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:14:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:15:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:16:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:17:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:18:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:19:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:20:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:21:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
2026-07-06 08:22:00 - [-] - deer-flow.api - INFO - 📊 SYS_MONITOR | RSS=214692 kB | VmSize=625324 kB
