一级分类名称,二级分类名称,事件类型,重要程度,事件类型
财务变动事项,财务风险事项,放弃债权/财产超标,5,公告事件
财务变动事项,财务风险事项,净资产下降超标,5,公告事件
财务变动事项,财务风险事项,累计对外提供担保超标,5,公告事件
财务变动事项,财务风险事项,累计新增借款超标,5,公告事件
财务变动事项,财务风险事项,重大损失超标,5,公告事件
财务变动事项,负债科目事项,或有负债,4,公告事件
财务变动事项,负债科目事项,计提预计负债,4,公告事件
财务变动事项,会计政策变动事项,会计差错更正,3,公告事件
财务变动事项,资产科目事项,处置存货,4,公告事件
财务变动事项,资产科目事项,存货报损,4,公告事件
财务变动事项,资产科目事项,存货盘亏,4,公告事件
财务变动事项,资产科目事项,计提存货跌价准备,4,公告事件
财务变动事项,资产科目事项,终止确认递延所得税,4,公告事件
财务变动事项,资产科目事项,固定资产报废处理,4,公告事件
财务变动事项,资产科目事项,处置交易性金融资产,4,公告事件
财务变动事项,资产科目事项,处置可供出售金融资产,4,公告事件
财务变动事项,资产科目事项,核销可供出售金融资产,4,公告事件
财务变动事项,资产科目事项,开发支出减值损失,4,公告事件
财务变动事项,资产科目事项,计提商誉减值准备,5,公告事件
财务变动事项,资产科目事项,商誉减值风险提示,5,公告事件
财务变动事项,资产科目事项,出售无形资产,4,公告事件
财务变动事项,资产科目事项,核销无形资产,4,公告事件
财务变动事项,资产科目事项,应收票据未兑付,4,公告事件
财务变动事项,资产科目事项,应收账款可能收不回,4,公告事件
财务变动事项,资产科目事项,长期待摊费用处理,4,公告事件
财务变动事项,资产科目事项,核销资产,4,公告事件
财务变动事项,资产科目事项,坏账核销,4,公告事件
财务变动事项,资产科目事项,计提坏账准备,4,公告事件
财务变动事项,资产科目事项,计提信用和资产减值准备,4,公告事件
定期报告披露,定期报告披露变动,定期报告变更披露,3,公告事件
定期报告披露,定期报告披露变动,定期报告不能按时披露,3,公告事件
定期报告披露,定期报告披露变动,定期报告提前披露,3,公告事件
定期报告披露,定期报告披露变动,定期报告延期披露,3,公告事件
定期报告披露,审计意见内容,带强调事项无保留意见,4,公告事件
定期报告披露,审计意见内容,非标准无保留意见,4,公告事件
定期报告披露,审计意见内容,否定意见,5,公告事件
定期报告披露,审计意见内容,无法表示意见,5,公告事件
定期报告披露,审计意见内容,有保留意见,4,公告事件
定期报告披露,审计意见内容,重大不确定事项无保留意见,4,公告事件
对外投融资事项,贷款事项,贷款被催款,3,公告事件
对外投融资事项,贷款事项,贷款逾期,3,公告事件
对外投融资事项,贷款事项,股东借款,3,公告事件
对外投融资事项,担保事项,担保履责,4,公告事件
对外投融资事项,担保事项,担保人代偿,4,公告事件
对外投融资事项,担保事项,担保债未能兑付,4,公告事件
对外投融资事项,担保事项,违规担保,4,公告事件
对外投融资事项,担保事项,置换担保抵押物,4,公告事件
对外投融资事项,对外投资事项,终止对外投资,3,公告事件
对外投融资事项,对外投资事项,注销合资公司,3,公告事件
对外投融资事项,股权交易事项,终止收购股权,3,公告事件
对外投融资事项,股权交易事项,子公司股权质押,3,公告事件
对外投融资事项,投资产业基金,减少产业基金投资,4,公告事件
对外投融资事项,投资产业基金,终止产业基金投资,4,公告事件
对外投融资事项,委托贷款,委托贷款逾期,3,公告事件
对外投融资事项,委托贷款,委托贷款展期,3,公告事件
对外投融资事项,债权债务事项,债务逾期,5,公告事件
对外投融资事项,资产交易事项,终止收购资产,3,公告事件
对外投融资事项,子公司投资事项,放弃子公司优先受让权,3,公告事件
对外投融资事项,子公司投资事项,注销子公司,3,公告事件
法律相关事项,法院事项,司法拍卖,5,公告事件
法律相关事项,反倾销,反倾销纠纷,3,公告事件
法律相关事项,接受立案调查,高管被审查调查,5,公告事件
法律相关事项,接受立案调查,高管接受公安局调查,5,公告事件
